source_name,samplename,STRAIN_TYPE,species ,org_id_abbr,sex_type,cellid,test_type,Biological.Replicate,inividual_id,Technical.Replicate,drugid,drugmatrix.drugid,Comment.chEMBL.ID,Control,Sample.Match,concentration ,dose_level,Dose.Unit,Dose.Duration.inDays,Dose.Duration.Unit,duration,Treatment.Group.,Accession.Number.7,Vehicle,batchid,chiptype,xptype,celfilename,organ_id
"4,4'-diethylaminoethoxyhexestrol_0.67_20_1",93383,RHCYT,R.norvegicus,NCBIT,U,Hepatocyte,in vitro,1,1,1,Coralgil,coralgil,CHEMBL1615358,FALSE,control_0.67,20,High,μM,0.67,day,16.08,treated,UO:0000033,DMSO .1 %,NA,Rat_Genome_230_2.0,perturbation,93383.CEL,Liver
"4,4'-diethylaminoethoxyhexestrol_0.67_20_2",93444,RHCYT,R.norvegicus,NCBIT,U,Hepatocyte,in vitro,2,2,1,Coralgil,coralgil,CHEMBL1615358,FALSE,control_0.67,20,High,μM,0.67,day,16.08,treated,UO:0000033,DMSO .1 %,NA,Rat_Genome_230_2.0,perturbation,93444.CEL,Liver
"4,4'-diethylaminoethoxyhexestrol_0.67_20_3",93504,RHCYT,R.norvegicus,NCBIT,U,Hepatocyte,in vitro,3,3,1,Coralgil,coralgil,CHEMBL1615358,FALSE,control_0.67,20,High,μM,0.67,day,16.08,treated,UO:0000033,DMSO .1 %,NA,Rat_Genome_230_2.0,perturbation,93504.CEL,Liver
"4,4'-diethylaminoethoxyhexestrol_1_20_1",93350,RHCYT,R.norvegicus,NCBIT,U,Hepatocyte,in vitro,1,1,1,Coralgil,coralgil,CHEMBL1615358,FALSE,control_1,20,High,μM,1,day,24,treated,UO:0000033,DMSO .1 %,NA,Rat_Genome_230_2.0,perturbation,93350.CEL,Liver
"4,4'-diethylaminoethoxyhexestrol_1_20_2",93445,RHCYT,R.norvegicus,NCBIT,U,Hepatocyte,in vitro,2,2,1,Coralgil,coralgil,CHEMBL1615358,FALSE,control_1,20,High,μM,1,day,24,treated,UO:0000033,DMSO .1 %,NA,Rat_Genome_230_2.0,perturbation,93445.CEL,Liver
"4,4'-diethylaminoethoxyhexestrol_1_20_3",93502,RHCYT,R.norvegicus,NCBIT,U,Hepatocyte,in vitro,3,3,1,Coralgil,coralgil,CHEMBL1615358,FALSE,control_1,20,High,μM,1,day,24,treated,UO:0000033,DMSO .1 %,NA,Rat_Genome_230_2.0,perturbation,93502.CEL,Liver
"4,4'-methylenedianiline_0.67_296_1",93517,RHCYT,R.norvegicus,NCBIT,U,Hepatocyte,in vitro,1,1,1,"4,4'-Methylenedianiline","4,4'-diaminodiphenylmethane",CHEMBL85728,FALSE,control_0.67,296,High,μM,0.67,day,16.08,treated,UO:0000033,DMSO .1 %,NA,Rat_Genome_230_2.0,perturbation,93517.CEL,Liver
"4,4'-methylenedianiline_0.67_296_2",93666,RHCYT,R.norvegicus,NCBIT,U,Hepatocyte,in vitro,2,2,1,"4,4'-Methylenedianiline","4,4'-diaminodiphenylmethane",CHEMBL85728,FALSE,control_0.67,296,High,μM,0.67,day,16.08,treated,UO:0000033,DMSO .1 %,NA,Rat_Genome_230_2.0,perturbation,93666.CEL,Liver
"4,4'-methylenedianiline_0.67_296_3",93716,RHCYT,R.norvegicus,NCBIT,U,Hepatocyte,in vitro,3,3,1,"4,4'-Methylenedianiline","4,4'-diaminodiphenylmethane",CHEMBL85728,FALSE,control_0.67,296,High,μM,0.67,day,16.08,treated,UO:0000033,DMSO .1 %,NA,Rat_Genome_230_2.0,perturbation,93716.CEL,Liver
"4,4'-methylenedianiline_1_296_1",93593,RHCYT,R.norvegicus,NCBIT,U,Hepatocyte,in vitro,1,1,1,"4,4'-Methylenedianiline","4,4'-diaminodiphenylmethane",CHEMBL85728,FALSE,control_1,296,High,μM,1,day,24,treated,UO:0000033,DMSO .1 %,NA,Rat_Genome_230_2.0,perturbation,93593.CEL,Liver
"4,4'-methylenedianiline_1_296_2",93773,RHCYT,R.norvegicus,NCBIT,U,Hepatocyte,in vitro,2,2,1,"4,4'-Methylenedianiline","4,4'-diaminodiphenylmethane",CHEMBL85728,FALSE,control_1,296,High,μM,1,day,24,treated,UO:0000033,DMSO .1 %,NA,Rat_Genome_230_2.0,perturbation,93773.CEL,Liver
"4,4'-methylenedianiline_1_296_3",93938,RHCYT,R.norvegicus,NCBIT,U,Hepatocyte,in vitro,3,3,1,"4,4'-Methylenedianiline","4,4'-diaminodiphenylmethane",CHEMBL85728,FALSE,control_1,296,High,μM,1,day,24,treated,UO:0000033,DMSO .1 %,NA,Rat_Genome_230_2.0,perturbation,93938.CEL,Liver
6-mercaptopurine_0.67_0.5_1,93341,RHCYT,R.norvegicus,NCBIT,U,Hepatocyte,in vitro,1,1,1,Marcaptopurine,mercaptopurine,CHEMBL1425,FALSE,control_0.67,0.5,High,μM,0.67,day,16.08,treated,UO:0000033,DMSO .1 %,NA,Rat_Genome_230_2.0,perturbation,93341.CEL,Liver
6-mercaptopurine_0.67_0.5_2,93399,RHCYT,R.norvegicus,NCBIT,U,Hepatocyte,in vitro,2,2,1,Marcaptopurine,mercaptopurine,CHEMBL1425,FALSE,control_0.67,0.5,High,μM,0.67,day,16.08,treated,UO:0000033,DMSO .1 %,NA,Rat_Genome_230_2.0,perturbation,93399.CEL,Liver
6-mercaptopurine_0.67_0.5_3,93605,RHCYT,R.norvegicus,NCBIT,U,Hepatocyte,in vitro,3,3,1,Marcaptopurine,mercaptopurine,CHEMBL1425,FALSE,control_0.67,0.5,High,μM,0.67,day,16.08,treated,UO:0000033,DMSO .1 %,NA,Rat_Genome_230_2.0,perturbation,93605.CEL,Liver
6-mercaptopurine_1_0.5_1,93363,RHCYT,R.norvegicus,NCBIT,U,Hepatocyte,in vitro,1,1,1,Marcaptopurine,mercaptopurine,CHEMBL1425,FALSE,control_1,0.5,High,μM,1,day,24,treated,UO:0000033,DMSO .1 %,NA,Rat_Genome_230_2.0,perturbation,93363.CEL,Liver
6-mercaptopurine_1_0.5_2,93413,RHCYT,R.norvegicus,NCBIT,U,Hepatocyte,in vitro,2,2,1,Marcaptopurine,mercaptopurine,CHEMBL1425,FALSE,control_1,0.5,High,μM,1,day,24,treated,UO:0000033,DMSO .1 %,NA,Rat_Genome_230_2.0,perturbation,93413.CEL,Liver
6-mercaptopurine_1_0.5_3,93471,RHCYT,R.norvegicus,NCBIT,U,Hepatocyte,in vitro,3,3,1,Marcaptopurine,mercaptopurine,CHEMBL1425,FALSE,control_1,0.5,High,μM,1,day,24,treated,UO:0000033,DMSO .1 %,NA,Rat_Genome_230_2.0,perturbation,93471.CEL,Liver
acetaminophen_0.67_1950_1,93026,RHCYT,R.norvegicus,NCBIT,U,Hepatocyte,in vitro,1,1,1,Acetaminophen,acetaminophen,CHEMBL112,FALSE,control_0.67,1950,High,μM,0.67,day,16.08,treated,UO:0000033,DMSO .1 %,NA,Rat_Genome_230_2.0,perturbation,93026.CEL,Liver
acetaminophen_0.67_1950_2,93085,RHCYT,R.norvegicus,NCBIT,U,Hepatocyte,in vitro,2,2,1,Acetaminophen,acetaminophen,CHEMBL112,FALSE,control_0.67,1950,High,μM,0.67,day,16.08,treated,UO:0000033,DMSO .1 %,NA,Rat_Genome_230_2.0,perturbation,93085.CEL,Liver
acetaminophen_0.67_1950_3,93310,RHCYT,R.norvegicus,NCBIT,U,Hepatocyte,in vitro,3,3,1,Acetaminophen,acetaminophen,CHEMBL112,FALSE,control_0.67,1950,High,μM,0.67,day,16.08,treated,UO:0000033,DMSO .1 %,NA,Rat_Genome_230_2.0,perturbation,93310.CEL,Liver
acetaminophen_1_1950_1,93022,RHCYT,R.norvegicus,NCBIT,U,Hepatocyte,in vitro,1,1,1,Acetaminophen,acetaminophen,CHEMBL112,FALSE,control_1,1950,High,μM,1,day,24,treated,UO:0000033,DMSO .1 %,NA,Rat_Genome_230_2.0,perturbation,93022.CEL,Liver
acetaminophen_1_1950_2,93129,RHCYT,R.norvegicus,NCBIT,U,Hepatocyte,in vitro,2,2,1,Acetaminophen,acetaminophen,CHEMBL112,FALSE,control_1,1950,High,μM,1,day,24,treated,UO:0000033,DMSO .1 %,NA,Rat_Genome_230_2.0,perturbation,93129.CEL,Liver
acetaminophen_1_1950_3,93214,RHCYT,R.norvegicus,NCBIT,U,Hepatocyte,in vitro,3,3,1,Acetaminophen,acetaminophen,CHEMBL112,FALSE,control_1,1950,High,μM,1,day,24,treated,UO:0000033,DMSO .1 %,NA,Rat_Genome_230_2.0,perturbation,93214.CEL,Liver
allyl alcohol_0.67_30_1,93304,RHCYT,R.norvegicus,NCBIT,U,Hepatocyte,in vitro,1,1,1,Allyl alcohol,allyl alcohol,CHEMBL234926,FALSE,control_0.67,30,Middle,μM,0.67,day,16.08,treated,UO:0000033,DMSO .1 %,NA,Rat_Genome_230_2.0,perturbation,93304.CEL,Liver
allyl alcohol_0.67_30_2,93336,RHCYT,R.norvegicus,NCBIT,U,Hepatocyte,in vitro,2,2,1,Allyl alcohol,allyl alcohol,CHEMBL234926,FALSE,control_0.67,30,Middle,μM,0.67,day,16.08,treated,UO:0000033,DMSO .1 %,NA,Rat_Genome_230_2.0,perturbation,93336.CEL,Liver
allyl alcohol_0.67_30_3,93452,RHCYT,R.norvegicus,NCBIT,U,Hepatocyte,in vitro,3,3,1,Allyl alcohol,allyl alcohol,CHEMBL234926,FALSE,control_0.67,30,Middle,μM,0.67,day,16.08,treated,UO:0000033,DMSO .1 %,NA,Rat_Genome_230_2.0,perturbation,93452.CEL,Liver
allyl alcohol_1_20_1,100990,RHCYT,R.norvegicus,NCBIT,U,Hepatocyte,in vitro,1,1,1,Allyl alcohol,allyl alcohol,CHEMBL234926,FALSE,control_1,20,Low,μM,1,day,24,treated,UO:0000033,DMSO .1 %,NA,Rat_Genome_230_2.0,perturbation,100990.CEL,Liver
allyl alcohol_1_20_2,101009,RHCYT,R.norvegicus,NCBIT,U,Hepatocyte,in vitro,2,2,1,Allyl alcohol,allyl alcohol,CHEMBL234926,FALSE,control_1,20,Low,μM,1,day,24,treated,UO:0000033,DMSO .1 %,NA,Rat_Genome_230_2.0,perturbation,101009.CEL,Liver
allyl alcohol_1_20_3,101028,RHCYT,R.norvegicus,NCBIT,U,Hepatocyte,in vitro,3,3,1,Allyl alcohol,allyl alcohol,CHEMBL234926,FALSE,control_1,20,Low,μM,1,day,24,treated,UO:0000033,DMSO .1 %,NA,Rat_Genome_230_2.0,perturbation,101028.CEL,Liver
allyl alcohol_1_30_1,100989,RHCYT,R.norvegicus,NCBIT,U,Hepatocyte,in vitro,1,1,1,Allyl alcohol,allyl alcohol,CHEMBL234926,FALSE,control_1,30,Middle,μM,1,day,24,treated,UO:0000033,DMSO .1 %,NA,Rat_Genome_230_2.0,perturbation,100989.CEL,Liver
allyl alcohol_1_30_2,101008,RHCYT,R.norvegicus,NCBIT,U,Hepatocyte,in vitro,2,2,1,Allyl alcohol,allyl alcohol,CHEMBL234926,FALSE,control_1,30,Middle,μM,1,day,24,treated,UO:0000033,DMSO .1 %,NA,Rat_Genome_230_2.0,perturbation,101008.CEL,Liver
allyl alcohol_1_30_3,101027,RHCYT,R.norvegicus,NCBIT,U,Hepatocyte,in vitro,3,3,1,Allyl alcohol,allyl alcohol,CHEMBL234926,FALSE,control_1,30,Middle,μM,1,day,24,treated,UO:0000033,DMSO .1 %,NA,Rat_Genome_230_2.0,perturbation,101027.CEL,Liver
allyl alcohol_1_30_1,93332,RHCYT,R.norvegicus,NCBIT,U,Hepatocyte,in vitro,1,1,1,Allyl alcohol,allyl alcohol,CHEMBL234926,FALSE,control_1,30,Middle,μM,1,day,24,treated,UO:0000033,DMSO .1 %,NA,Rat_Genome_230_2.0,perturbation,93332.CEL,Liver
allyl alcohol_1_30_2,93371,RHCYT,R.norvegicus,NCBIT,U,Hepatocyte,in vitro,2,2,1,Allyl alcohol,allyl alcohol,CHEMBL234926,FALSE,control_1,30,Middle,μM,1,day,24,treated,UO:0000033,DMSO .1 %,NA,Rat_Genome_230_2.0,perturbation,93371.CEL,Liver
allyl alcohol_1_30_3,93401,RHCYT,R.norvegicus,NCBIT,U,Hepatocyte,in vitro,3,3,1,Allyl alcohol,allyl alcohol,CHEMBL234926,FALSE,control_1,30,Middle,μM,1,day,24,treated,UO:0000033,DMSO .1 %,NA,Rat_Genome_230_2.0,perturbation,93401.CEL,Liver
allyl alcohol_1_40_1,100988,RHCYT,R.norvegicus,NCBIT,U,Hepatocyte,in vitro,1,1,1,Allyl alcohol,allyl alcohol,CHEMBL234926,FALSE,control_1,40,High,μM,1,day,24,treated,UO:0000033,DMSO .1 %,NA,Rat_Genome_230_2.0,perturbation,100988.CEL,Liver
allyl alcohol_1_40_2,101007,RHCYT,R.norvegicus,NCBIT,U,Hepatocyte,in vitro,2,2,1,Allyl alcohol,allyl alcohol,CHEMBL234926,FALSE,control_1,40,High,μM,1,day,24,treated,UO:0000033,DMSO .1 %,NA,Rat_Genome_230_2.0,perturbation,101007.CEL,Liver
allyl alcohol_1_40_3,101026,RHCYT,R.norvegicus,NCBIT,U,Hepatocyte,in vitro,3,3,1,Allyl alcohol,allyl alcohol,CHEMBL234926,FALSE,control_1,40,High,μM,1,day,24,treated,UO:0000033,DMSO .1 %,NA,Rat_Genome_230_2.0,perturbation,101026.CEL,Liver
amantadine_0.67_1500_1,93318,RHCYT,R.norvegicus,NCBIT,U,Hepatocyte,in vitro,1,1,1,Amantadine,amantadine,CHEMBL660,FALSE,control_0.67,1500,High,μM,0.67,day,16.08,treated,UO:0000033,DMSO .1 %,NA,Rat_Genome_230_2.0,perturbation,93318.CEL,Liver
amantadine_0.67_1500_2,93414,RHCYT,R.norvegicus,NCBIT,U,Hepatocyte,in vitro,2,2,1,Amantadine,amantadine,CHEMBL660,FALSE,control_0.67,1500,High,μM,0.67,day,16.08,treated,UO:0000033,DMSO .1 %,NA,Rat_Genome_230_2.0,perturbation,93414.CEL,Liver
amantadine_0.67_1500_3,93501,RHCYT,R.norvegicus,NCBIT,U,Hepatocyte,in vitro,3,3,1,Amantadine,amantadine,CHEMBL660,FALSE,control_0.67,1500,High,μM,0.67,day,16.08,treated,UO:0000033,DMSO .1 %,NA,Rat_Genome_230_2.0,perturbation,93501.CEL,Liver
amantadine_1_1500_1,93298,RHCYT,R.norvegicus,NCBIT,U,Hepatocyte,in vitro,1,1,1,Amantadine,amantadine,CHEMBL660,FALSE,control_1,1500,High,μM,1,day,24,treated,UO:0000033,DMSO .1 %,NA,Rat_Genome_230_2.0,perturbation,93298.CEL,Liver
amantadine_1_1500_2,93449,RHCYT,R.norvegicus,NCBIT,U,Hepatocyte,in vitro,2,2,1,Amantadine,amantadine,CHEMBL660,FALSE,control_1,1500,High,μM,1,day,24,treated,UO:0000033,DMSO .1 %,NA,Rat_Genome_230_2.0,perturbation,93449.CEL,Liver
amantadine_1_1500_3,93493,RHCYT,R.norvegicus,NCBIT,U,Hepatocyte,in vitro,3,3,1,Amantadine,amantadine,CHEMBL660,FALSE,control_1,1500,High,μM,1,day,24,treated,UO:0000033,DMSO .1 %,NA,Rat_Genome_230_2.0,perturbation,93493.CEL,Liver
amineptine_0.67_1667_1,93377,RHCYT,R.norvegicus,NCBIT,U,Hepatocyte,in vitro,1,1,1,Amineptine,amineptine,CHEMBL418995,FALSE,control_0.67,1667,High,μM,0.67,day,16.08,treated,UO:0000033,DMSO .1 %,NA,Rat_Genome_230_2.0,perturbation,93377.CEL,Liver
amineptine_0.67_1667_2,93402,RHCYT,R.norvegicus,NCBIT,U,Hepatocyte,in vitro,2,2,1,Amineptine,amineptine,CHEMBL418995,FALSE,control_0.67,1667,High,μM,0.67,day,16.08,treated,UO:0000033,DMSO .1 %,NA,Rat_Genome_230_2.0,perturbation,93402.CEL,Liver
amineptine_0.67_1667_3,93476,RHCYT,R.norvegicus,NCBIT,U,Hepatocyte,in vitro,3,3,1,Amineptine,amineptine,CHEMBL418995,FALSE,control_0.67,1667,High,μM,0.67,day,16.08,treated,UO:0000033,DMSO .1 %,NA,Rat_Genome_230_2.0,perturbation,93476.CEL,Liver
amineptine_1_1667_1,93343,RHCYT,R.norvegicus,NCBIT,U,Hepatocyte,in vitro,1,1,1,Amineptine,amineptine,CHEMBL418995,FALSE,control_1,1667,High,μM,1,day,24,treated,UO:0000033,DMSO .1 %,NA,Rat_Genome_230_2.0,perturbation,93343.CEL,Liver
amineptine_1_1667_2,93453,RHCYT,R.norvegicus,NCBIT,U,Hepatocyte,in vitro,2,2,1,Amineptine,amineptine,CHEMBL418995,FALSE,control_1,1667,High,μM,1,day,24,treated,UO:0000033,DMSO .1 %,NA,Rat_Genome_230_2.0,perturbation,93453.CEL,Liver
amineptine_1_1667_3,93465,RHCYT,R.norvegicus,NCBIT,U,Hepatocyte,in vitro,3,3,1,Amineptine,amineptine,CHEMBL418995,FALSE,control_1,1667,High,μM,1,day,24,treated,UO:0000033,DMSO .1 %,NA,Rat_Genome_230_2.0,perturbation,93465.CEL,Liver
amiodarone_0.67_37.04_1,93550,RHCYT,R.norvegicus,NCBIT,U,Hepatocyte,in vitro,1,1,1,Amiodarone,amiodarone,CHEMBL633,FALSE,control_0.67,37.04,High,μM,0.67,day,16.08,treated,UO:0000033,DMSO .1 %,NA,Rat_Genome_230_2.0,perturbation,93550.CEL,Liver
amiodarone_0.67_37.04_2,93627,RHCYT,R.norvegicus,NCBIT,U,Hepatocyte,in vitro,2,2,1,Amiodarone,amiodarone,CHEMBL633,FALSE,control_0.67,37.04,High,μM,0.67,day,16.08,treated,UO:0000033,DMSO .1 %,NA,Rat_Genome_230_2.0,perturbation,93627.CEL,Liver
amiodarone_0.67_37.04_3,93689,RHCYT,R.norvegicus,NCBIT,U,Hepatocyte,in vitro,3,3,1,Amiodarone,amiodarone,CHEMBL633,FALSE,control_0.67,37.04,High,μM,0.67,day,16.08,treated,UO:0000033,DMSO .1 %,NA,Rat_Genome_230_2.0,perturbation,93689.CEL,Liver
amiodarone_1_37.04_1,93658,RHCYT,R.norvegicus,NCBIT,U,Hepatocyte,in vitro,1,1,1,Amiodarone,amiodarone,CHEMBL633,FALSE,control_1,37.04,High,μM,1,day,24,treated,UO:0000033,DMSO .1 %,NA,Rat_Genome_230_2.0,perturbation,93658.CEL,Liver
amiodarone_1_37.04_2,93690,RHCYT,R.norvegicus,NCBIT,U,Hepatocyte,in vitro,2,2,1,Amiodarone,amiodarone,CHEMBL633,FALSE,control_1,37.04,High,μM,1,day,24,treated,UO:0000033,DMSO .1 %,NA,Rat_Genome_230_2.0,perturbation,93690.CEL,Liver
amiodarone_1_37.04_3,93766,RHCYT,R.norvegicus,NCBIT,U,Hepatocyte,in vitro,3,3,1,Amiodarone,amiodarone,CHEMBL633,FALSE,control_1,37.04,High,μM,1,day,24,treated,UO:0000033,DMSO .1 %,NA,Rat_Genome_230_2.0,perturbation,93766.CEL,Liver
amitriptyline_0.67_72_1,93011,RHCYT,R.norvegicus,NCBIT,U,Hepatocyte,in vitro,1,1,1,Amitriptyline,amitriptyline,CHEMBL629,FALSE,control_0.67,72,High,μM,0.67,day,16.08,treated,UO:0000033,DMSO .1 %,NA,Rat_Genome_230_2.0,perturbation,93011.CEL,Liver
amitriptyline_0.67_72_2,93088,RHCYT,R.norvegicus,NCBIT,U,Hepatocyte,in vitro,2,2,1,Amitriptyline,amitriptyline,CHEMBL629,FALSE,control_0.67,72,High,μM,0.67,day,16.08,treated,UO:0000033,DMSO .1 %,NA,Rat_Genome_230_2.0,perturbation,93088.CEL,Liver
amitriptyline_0.67_72_3,93846,RHCYT,R.norvegicus,NCBIT,U,Hepatocyte,in vitro,3,3,1,Amitriptyline,amitriptyline,CHEMBL629,FALSE,control_0.67,72,High,μM,0.67,day,16.08,treated,UO:0000033,DMSO .1 %,NA,Rat_Genome_230_2.0,perturbation,93846.CEL,Liver
amitriptyline_1_72_1,93023,RHCYT,R.norvegicus,NCBIT,U,Hepatocyte,in vitro,1,1,1,Amitriptyline,amitriptyline,CHEMBL629,FALSE,control_1,72,High,μM,1,day,24,treated,UO:0000033,DMSO .1 %,NA,Rat_Genome_230_2.0,perturbation,93023.CEL,Liver
amitriptyline_1_72_2,93233,RHCYT,R.norvegicus,NCBIT,U,Hepatocyte,in vitro,2,2,1,Amitriptyline,amitriptyline,CHEMBL629,FALSE,control_1,72,High,μM,1,day,24,treated,UO:0000033,DMSO .1 %,NA,Rat_Genome_230_2.0,perturbation,93233.CEL,Liver
amitriptyline_1_72_3,93563,RHCYT,R.norvegicus,NCBIT,U,Hepatocyte,in vitro,3,3,1,Amitriptyline,amitriptyline,CHEMBL629,FALSE,control_1,72,High,μM,1,day,24,treated,UO:0000033,DMSO .1 %,NA,Rat_Genome_230_2.0,perturbation,93563.CEL,Liver
antimycin a_0.67_0.03_1,93362,RHCYT,R.norvegicus,NCBIT,U,Hepatocyte,in vitro,1,1,1,Antimycin A,antimycin A,CHEMBL1231114,FALSE,control_0.67,0.03,High,μM,0.67,day,16.08,treated,UO:0000033,DMSO .1 %,NA,Rat_Genome_230_2.0,perturbation,93362.CEL,Liver
antimycin a_0.67_0.03_2,93411,RHCYT,R.norvegicus,NCBIT,U,Hepatocyte,in vitro,2,2,1,Antimycin A,antimycin A,CHEMBL1231114,FALSE,control_0.67,0.03,High,μM,0.67,day,16.08,treated,UO:0000033,DMSO .1 %,NA,Rat_Genome_230_2.0,perturbation,93411.CEL,Liver
antimycin a_0.67_0.03_3,93503,RHCYT,R.norvegicus,NCBIT,U,Hepatocyte,in vitro,3,3,1,Antimycin A,antimycin A,CHEMBL1231114,FALSE,control_0.67,0.03,High,μM,0.67,day,16.08,treated,UO:0000033,DMSO .1 %,NA,Rat_Genome_230_2.0,perturbation,93503.CEL,Liver
antimycin a_1_0.03_1,93387,RHCYT,R.norvegicus,NCBIT,U,Hepatocyte,in vitro,1,1,1,Antimycin A,antimycin A,CHEMBL1231114,FALSE,control_1,0.03,High,μM,1,day,24,treated,UO:0000033,DMSO .1 %,NA,Rat_Genome_230_2.0,perturbation,93387.CEL,Liver
antimycin a_1_0.03_2,93435,RHCYT,R.norvegicus,NCBIT,U,Hepatocyte,in vitro,2,2,1,Antimycin A,antimycin A,CHEMBL1231114,FALSE,control_1,0.03,High,μM,1,day,24,treated,UO:0000033,DMSO .1 %,NA,Rat_Genome_230_2.0,perturbation,93435.CEL,Liver
