Source.Name	Characteristics.Subject.ID.	Characteristics.Strain.	Characteristics.Organism.	Term.Source.REF	Term.Accession.Number	Characteristics.Sex.	Factor.Value.Age.	Characteristics.AgeUnit.	Term.Source.REF.1	Term.Accession.Number.1	Characteristics.Organ.	Term.Source.REF.2	Term.Accession.Number.2	Characteristics.Tissue.	Term.Source.REF.3	Term.Accession.Number.3	Characteristics.Cell.	Term.Source.REF.4	Term.Accession.Number.4	Characteristics.Assay.Type.	Characteristics.Biological.Replicate.	Characteristics.Technical.Replicate.	Factor.Value.Compound.	Term.Source.REF.5	Term.Accession.Number.5	Characteristics.StdInChIKey.	Comment.chEMBL.ID.	Characteristics.Eniantiomer.	Characteristics.Compound.Class.	Characteristics.Control.	Characteristics.Sample.Match.	Factor.Value.Dose.	Characteristics.DoseUnit.	Term.Source.REF.6	Term.Accession.Number.6	Factor.Value.Dose.Duration.	Characteristics.Dose.DurationUnit.	Term.Source.REF.7	Term.Accession.Number.7	Factor.Value.Dose.Frequency.	Characteristics.Vehicle.	Characteristics.Route.	Term.Source.REF.8	Term.Accession.Number.8	Factor.Value.Sample.TimePoint.	Characteristics.Sample.TimePointUnit.	Term.Source.REF.9	Term.Accession.Number.9	Characteristics.Treatment.Group.	Protocol.REF	Sample.Name
"4,4'-methylenedianiline_0.67_296_2"	93666	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	2	1	"4,4'-diaminodiphenylmethane"	CHEBI	32506	YBRVSVVVWCFQMG-UHFFFAOYSA-N	CHEMBL85728	NA	NA	FALSE	control_0.67	296	micromolar	UO	UO:0000064	0.67	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	"4,4'-methylenedianiline_0.67_296_2"
"4,4'-methylenedianiline_0.67_296_3"	93716	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	3	1	"4,4'-diaminodiphenylmethane"	CHEBI	32506	YBRVSVVVWCFQMG-UHFFFAOYSA-N	CHEMBL85728	NA	NA	FALSE	control_0.67	296	micromolar	UO	UO:0000064	0.67	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	"4,4'-methylenedianiline_0.67_296_3"
"4,4'-methylenedianiline_1_296_1"	93593	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	1	1	"4,4'-diaminodiphenylmethane"	CHEBI	32506	YBRVSVVVWCFQMG-UHFFFAOYSA-N	CHEMBL85728	NA	NA	FALSE	control_1	296	micromolar	UO	UO:0000064	1	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	"4,4'-methylenedianiline_1_296_1"
"4,4'-methylenedianiline_1_296_2"	93773	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	2	1	"4,4'-diaminodiphenylmethane"	CHEBI	32506	YBRVSVVVWCFQMG-UHFFFAOYSA-N	CHEMBL85728	NA	NA	FALSE	control_1	296	micromolar	UO	UO:0000064	1	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	"4,4'-methylenedianiline_1_296_2"
"4,4'-methylenedianiline_1_296_3"	93938	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	3	1	"4,4'-diaminodiphenylmethane"	CHEBI	32506	YBRVSVVVWCFQMG-UHFFFAOYSA-N	CHEMBL85728	NA	NA	FALSE	control_1	296	micromolar	UO	UO:0000064	1	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	"4,4'-methylenedianiline_1_296_3"
6-mercaptopurine_0.67_0.5_1	93341	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	1	1	mercaptopurine	CHEBI	50667	GLVAUDGFNGKCSF-UHFFFAOYSA-N	CHEMBL1425	NA	NA	FALSE	control_0.67	0.5	micromolar	UO	UO:0000064	0.67	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	6-mercaptopurine_0.67_0.5_1
6-mercaptopurine_0.67_0.5_2	93399	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	2	1	mercaptopurine	CHEBI	50667	GLVAUDGFNGKCSF-UHFFFAOYSA-N	CHEMBL1425	NA	NA	FALSE	control_0.67	0.5	micromolar	UO	UO:0000064	0.67	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	6-mercaptopurine_0.67_0.5_2
6-mercaptopurine_0.67_0.5_3	93605	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	3	1	mercaptopurine	CHEBI	50667	GLVAUDGFNGKCSF-UHFFFAOYSA-N	CHEMBL1425	NA	NA	FALSE	control_0.67	0.5	micromolar	UO	UO:0000064	0.67	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	6-mercaptopurine_0.67_0.5_3
6-mercaptopurine_1_0.5_1	93363	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	1	1	mercaptopurine	CHEBI	50667	GLVAUDGFNGKCSF-UHFFFAOYSA-N	CHEMBL1425	NA	NA	FALSE	control_1	0.5	micromolar	UO	UO:0000064	1	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	6-mercaptopurine_1_0.5_1
6-mercaptopurine_1_0.5_2	93413	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	2	1	mercaptopurine	CHEBI	50667	GLVAUDGFNGKCSF-UHFFFAOYSA-N	CHEMBL1425	NA	NA	FALSE	control_1	0.5	micromolar	UO	UO:0000064	1	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	6-mercaptopurine_1_0.5_2
6-mercaptopurine_1_0.5_3	93471	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	3	1	mercaptopurine	CHEBI	50667	GLVAUDGFNGKCSF-UHFFFAOYSA-N	CHEMBL1425	NA	NA	FALSE	control_1	0.5	micromolar	UO	UO:0000064	1	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	6-mercaptopurine_1_0.5_3
acetaminophen_0.67_1950_1	93026	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	1	1	acetaminophen	CHEBI	46195	RZVAJINKPMORJF-UHFFFAOYSA-N	CHEMBL112	NA	NA	FALSE	control_0.67	1950	micromolar	UO	UO:0000064	0.67	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	acetaminophen_0.67_1950_1
acetaminophen_0.67_1950_2	93085	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	2	1	acetaminophen	CHEBI	46195	RZVAJINKPMORJF-UHFFFAOYSA-N	CHEMBL112	NA	NA	FALSE	control_0.67	1950	micromolar	UO	UO:0000064	0.67	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	acetaminophen_0.67_1950_2
acetaminophen_0.67_1950_3	93310	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	3	1	acetaminophen	CHEBI	46195	RZVAJINKPMORJF-UHFFFAOYSA-N	CHEMBL112	NA	NA	FALSE	control_0.67	1950	micromolar	UO	UO:0000064	0.67	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	acetaminophen_0.67_1950_3
acetaminophen_1_1950_1	93022	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	1	1	acetaminophen	CHEBI	46195	RZVAJINKPMORJF-UHFFFAOYSA-N	CHEMBL112	NA	NA	FALSE	control_1	1950	micromolar	UO	UO:0000064	1	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	acetaminophen_1_1950_1
acetaminophen_1_1950_2	93129	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	2	1	acetaminophen	CHEBI	46195	RZVAJINKPMORJF-UHFFFAOYSA-N	CHEMBL112	NA	NA	FALSE	control_1	1950	micromolar	UO	UO:0000064	1	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	acetaminophen_1_1950_2
acetaminophen_1_1950_3	93214	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	3	1	acetaminophen	CHEBI	46195	RZVAJINKPMORJF-UHFFFAOYSA-N	CHEMBL112	NA	NA	FALSE	control_1	1950	micromolar	UO	UO:0000064	1	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	acetaminophen_1_1950_3
allyl alcohol_0.67_30_1	93304	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	1	1	allyl alcohol	CHEBI	16605	XXROGKLTLUQVRX-UHFFFAOYSA-N	CHEMBL234926	NA	NA	FALSE	control_0.67	30	micromolar	UO	UO:0000064	0.67	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	allyl alcohol_0.67_30_1
allyl alcohol_0.67_30_2	93336	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	2	1	allyl alcohol	CHEBI	16605	XXROGKLTLUQVRX-UHFFFAOYSA-N	CHEMBL234926	NA	NA	FALSE	control_0.67	30	micromolar	UO	UO:0000064	0.67	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	allyl alcohol_0.67_30_2
allyl alcohol_0.67_30_3	93452	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	3	1	allyl alcohol	CHEBI	16605	XXROGKLTLUQVRX-UHFFFAOYSA-N	CHEMBL234926	NA	NA	FALSE	control_0.67	30	micromolar	UO	UO:0000064	0.67	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	allyl alcohol_0.67_30_3
allyl alcohol_1_20_1	100990	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	1	1	allyl alcohol	CHEBI	16605	XXROGKLTLUQVRX-UHFFFAOYSA-N	CHEMBL234926	NA	NA	FALSE	control_1	20	micromolar	UO	UO:0000064	1	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	allyl alcohol_1_20_1
allyl alcohol_1_20_2	101009	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	2	1	allyl alcohol	CHEBI	16605	XXROGKLTLUQVRX-UHFFFAOYSA-N	CHEMBL234926	NA	NA	FALSE	control_1	20	micromolar	UO	UO:0000064	1	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	allyl alcohol_1_20_2
allyl alcohol_1_20_3	101028	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	3	1	allyl alcohol	CHEBI	16605	XXROGKLTLUQVRX-UHFFFAOYSA-N	CHEMBL234926	NA	NA	FALSE	control_1	20	micromolar	UO	UO:0000064	1	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	allyl alcohol_1_20_3
allyl alcohol_1_30_1	100989	RHCYT	Rattus norvegicus	NCBITaxon	obo:NCBITaxon_10116	U	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Hepatocyte	BioModels	fma:FMA_14515	in vitro	1	1	allyl alcohol	CHEBI	16605	XXROGKLTLUQVRX-UHFFFAOYSA-N	CHEMBL234926	NA	NA	FALSE	control_1	30	micromolar	UO	UO:0000064	1	day	UO	UO:0000033	NA	DMSO .1 %	NA	NA	NA	NA	NA	NA	NA	treated	sample collection	allyl alcohol_1_30_1
